@@astelknight
0,古塔乱,古塔槍で攻撃した場合のみ、与クリティカルの値が50アップする。,固有
1,不屈の精神,戦闘中にて死亡ダメージを受けた場合、1度だけHP1で耐える。,固有
2,驚愕治癒術,驚愕(きょうがく)状態から回復しやすくなる。,
3,星の心,敵に"不意を突かれた"とき、驚愕状態に非常になりにくい。,
4,貫通耐性強化術,貫撃(かんげき)属性の攻撃に対する耐性を強化。,
5,腕自慢,STR(腕力)のステータスを強化。主に攻撃力に影響。,STR35%アップ
6,運命の星,運命力が大幅にアップする。,
7,古塔槍術師範,古塔槍(ことうそう)のウェポンマスタリーを強化。,5段階強化
8,驚愕耐性強化術,驚愕(きょうがく)属性の攻撃に対する耐性を強化。,
9,鎧通し,攻撃をした際、敵の防御力を15%無視してダメージを与える。,
10,大火事場力,HPが1%以下の場合に発動。与スタン値が35アップ。,
11,鉄壁の運勢,幸運中の幸運の持ち主の場合に限り、ガード率が15%アップする。,
@@sinobusi
0,二刀一流,両手の武器のマスタリーがS+の場合のみ、50%の確率で両手の武器で攻撃。,固有
1,影術,戦闘中に敵から狙われにくくなる。,固有
2,呪毒治癒術,呪毒(じゅどく)状態から回復しやすくなる。,
3,闇討ち術,スタン中の敵に対して攻撃を行う際、与クリティカルの値が+75される。,
4,打撃耐性強化術,打撃(だげき)属性の攻撃に対する耐性を強化。,
5,器用さ自慢,DEX(器用さ)のステータスを強化。主に命中率、与クリティカル率に影響。,DEX35%アップ
6,呪い返し,自身が状態異常の際、通常攻撃時に同じ状態異常を威力100で付与する。,
7,刀剣術師範,刀剣(とうけん)のウェポンマスタリーを強化。,5段階強化
8,呪毒耐性強化術,呪毒(じゅどく)属性の攻撃に対する耐性を強化。,
9,影隠れ,HPが10%以下の場合に発動。戦闘中に敵からすごく狙われにくくなる。,
10,奥義大鎧通し,HPが100%の場合に発動。攻撃した際に相手の防御力を25%無視する。,
11,刃落とし,HPが100%の場合に発動。攻撃を受けた際の攻撃力を20%ダウンさせる。,
@@theatricalstar
0,スキキライスキ,自身の他者への友好度の増減補正が2倍になる。,固有
1,癒演舞の鐘,呪鐘装備の場合のみ、毎ターンHPが3%回復し戦闘終了後にはHPが20%回復。,固有
2,幻覚治癒術,幻覚(げんかく)状態から回復しやすくなる。,
3,詛呪の鐘,呪鐘装備の場合のみ、共振率アップの補正。また、ほんの少し敵の注意をひける。,
4,霧撃耐性強化術,霧撃(むげき)属性の攻撃に対する耐性を強化。,
5,美体自慢,ERS(エロス)のステータスを強化。主に敵のターゲット選択に影響。,
6,演者の意地,ミスする度に攻撃力が50%上昇。最大で+500%で攻撃がヒットするまで継続。,
7,呪鐘術師範,呪鐘(じゅしょう)のウェポンマスタリーを強化。,
8,幻覚耐性強化術,幻覚(げんかく)属性の攻撃に対する耐性を強化。,
9,反撃の狼煙,HPが30%以下の場合に発動。共振率が大アップの補正。,
10,見切りの運勢,絶望中の絶望運の持ち主の場合に限り、回避率が35%アップする。,
11,反ドナム思想,攻撃時に攻撃力補正を受けるが、所属カヴンのDP消費が25%アップ。,
@@marginalmaze
0,ドナムマスター,ドナム攻撃の際、威力が13%増加。複数人いればその分アップ。,固有
1,ぶちまわし,スタン中の相手に対して、25%の確率で発動し2~5回の複数回攻撃を行う,固有
2,深淵治癒術,深淵(しんえん)状態から回復しやすくなる。,
3,ドナム効率化論,所属カヴンのDP消費が25%減少。,
4,焔撃耐性強化術,焔撃(えんげき)属性の攻撃に対する耐性を強化。,
5,ドナム力自慢,DMP(ドナム力)のステータスを強化。主にドナムの威力に影響。,
6,月蝕,蝕台で攻撃した場合のみ、相手の防御力を25%無視する。,
7,蝕台術師範,蝕台(しょくだい)のウェポンマスタリーを強化。,
8,深淵耐性強化術,深淵(しんえん)属性の攻撃に対する耐性を強化。,
9,やわらかボディ,HPが100%の場合に発動。攻撃された際のダメージをぽい～んと軽減する。,
10,ドエムマスター,攻撃を受ける度に防御力が15%強化される。最大105%まで上昇。,
11,ボディタッチ,HPが100%の場合に発動。攻撃ヒット時、25%の確率で錯乱の効果を発動。,
@@peerfortress
0,籠城盾,防御もしくは、防御陣のときに自身のHPが5%回復。,固有
1,守るの心,10%の確率で攻撃を代わりに受ける。さらに戦術甲を装備すると1つにつき+15%,固有
