#防具名,部位(頭から順に0～4),スキル1名,スキル1値,スキル2名,スキル2値,lv1スロット数,lv2スロット数,lv3スロット数,火耐性,水耐性,雷耐性,氷耐性,龍耐性
,0,,,,,0,0,0,0,0,0,0,0
,1,,,,,0,0,0,0,0,0,0,0
,2,,,,,0,0,0,0,0,0,0,0
,3,,,,,0,0,0,0,0,0,0,0
,4,,,,,0,0,0,0,0,0,0,0
レザーヘッドα,0,haraheri,2,,,0,0,0,2,0,0,0,0
レザーベストα,1,hitaisei,1,,,0,0,0,2,0,0,0,0
レザーグラブα,2,kaihukusokudo,1,,,0,0,0,2,0,0,0,0
レザーベルトα,3,sutaminakaihuku,1,,,0,0,0,2,0,0,0,0
レザーパンツα,4,kuraima-,1,,,0,0,0,2,0,0,0,0
レザーヘッドβ,0,haraheri,1,,,1,0,0,2,0,0,0,0
レザーベストβ,1,,,,,1,0,0,2,0,0,0,0
レザーグラブβ,2,,,,,1,0,0,2,0,0,0,0
レザーベルトβ,3,,,,,1,0,0,2,0,0,0,0
レザーパンツβ,4,,,,,1,0,0,2,0,0,0,0
チェーンヘッドα,0,saisyu,1,ga-doseinou,1,0,0,0,0,2,0,0,0
チェーンベストα,1,mizutaisei,1,,,0,0,0,0,2,0,0,0
チェーングラブα,2,kaihukusokudo,1,,,0,0,0,0,2,0,0,0
チェーンベルトα,3,noutou,1,,,0,0,0,0,2,0,0,0
チェーンパンツα,4,tairyokukaihuku,1,,,0,0,0,0,2,0,0,0
チェーンヘッドβ,0,saisyu,1,,,1,0,0,0,2,0,0,0
チェーンベストβ,1,,,,,1,0,0,0,2,0,0,0
チェーングラブβ,2,,,,,1,0,0,0,2,0,0,0
チェーンベルトβ,3,,,,,1,0,0,0,2,0,0,0
チェーンパンツβ,4,,,,,1,0,0,0,2,0,0,0
ハンターヘルムα,0,sirubemusi,1,kenkyusya,1,0,0,0,2,2,0,0,0
ハンターメイルα,1,suringa-souten,2,,,0,0,0,2,2,0,0,0
ハンターアームα,2,senpuku,2,,,0,0,0,2,2,0,0,0
ハンターコイルα,3,saisyu,1,senpuku,1,0,0,0,2,2,0,0,0
ハンターグリーヴα,4,tuiseki,1,suringa-souten,1,0,0,0,2,2,0,0,0
ハンターヘルムβ,0,sirubemusi,1,,,1,0,0,2,2,0,0,0
ハンターメイルβ,1,suringa-souten,1,,,1,0,0,2,2,0,0,0
ハンターアームβ,2,senpuku,1,,,1,0,0,2,2,0,0,0
ハンターコイルβ,3,saisyu,1,,,1,0,0,2,2,0,0,0
ハンターグリーヴβ,4,tuiseki,1,,,1,0,0,2,2,0,0,0
ボーンヘルムα,0,tairyokuzoukyou,1,kontyuu,1,0,0,0,2,0,2,0,2
ボーンメイルα,1,kougeki,2,,,0,0,0,2,0,2,0,2
